country;Region;Surface area (km2);Population in thousands (2017);Population density (per km2, 2017);Sex ratio (m per 100 f, 2017);GDP: Gross domestic product (million current US$);GDP growth rate (annual %, const. 2005 prices);GDP per capita (current US$);Economy: Agriculture (% of GVA);Economy: Industry (% of GVA);Economy: Services and other activity (% of GVA);Employment: Agriculture (% of employed);Employment: Industry (% of employed);Employment: Services (% of employed);Unemployment (% of labour force);Labour force participation (female/male pop. %);Agricultural production index (2004-2006=100);Food production index (2004-2006=100);International trade: Exports (million US$);International trade: Imports (million US$);International trade: Balance (million US$);Balance of payments, current account (million US$);Population growth rate (average annual %);Urban population (% of total population);Urban population growth rate (average annual %);Fertility rate, total (live births per woman);Life expectancy at birth (females/males, years);Population age distribution (0-14 / 60+ years, %);International migrant stock (000/% of total pop.);Refugees and others of concern to UNHCR (in thousands);Infant mortality rate (per 1000 live births;Health: Total expenditure (% of GDP);Health: Physicians (per 1000 pop.);Education: Government expenditure (% of GDP);Education: Primary gross enrol. ratio (f/m per 100 pop.);Education: Secondary gross enrol. ratio (f/m per 100 pop.);Education: Tertiary gross enrol. ratio (f/m per 100 pop.);Seats held by women in national parliaments %;Mobile-cellular subscriptions (per 100 inhabitants);Individuals using the Internet (per 100 inhabitants);Threatened species (number);Forested area (% of land area);CO2 emission estimates (million tons/tons per capita);Energy production, primary (Petajoules);Energy supply per capita (Gigajoules);Pop. using improved drinking water (urban/rural, %);Pop. using improved sanitation facilities (urban/rural, %);Net Official Development Assist. received (% of GNI);;
Cuba;Caribbean;109884;11485;107.9;100.1;87206;44290;7656.6;5.0;44336;74.5;44451;44388;75.3;3.0;42.1/68.3;100;101;18000;4911;13089;-99;0.2;77.1;0.1;44378;81.3/77.1;16.0/20.1;13.3/0.1;0.4;44321;44207;44323;...;94.9/100.1;102.7/98.2;43.0/30.1;48.9;44376;44227;339;30.2;34.8/3.0;212;47;96.4/89.8;94.4/89.1;...;;
Cyprus;WesternAsia;9251;1180;127.7;100.2;19561;44378;21941.9;44257;44357;87.2;44200;44393;79.2;44265;57.8/70.4;80;80;1920;6604;-4684;-576;0.9;66.9;0.9;44287;82.2/77.7;16.8/18.5;196.2/16.8;44243;44231;44293;44318;44202;99.3/99.3;99.4/100.1;69.4/51.1;44456;95.4;71.7;72;44395;6.1/5.2;5;72;100.0/100.0;100.0/100.0;-99;;
Czechia;EasternEurope;78868;10618;137.5;96.7;185156;44320;17561.7;44318;37.8;59.7;44318;37.0;60.5;44442;51.3/67.8;102;102;161248;140316;20932;1683;0.1;73.0;0.3;44317;81.2/75.1;15.4/25.6;405.1/3.8;6.0;44318;44293;44380;44200;99.9/99.6;106.1/105.1;76.3/54.2;20.0;129.2;81.3;53;34.5;96.5/9.2;1221;164;100.0/100.0;99.1/99.2;-99;;
Democratic People's Republic of Korea;EasternAsia;120538;25491;211.7;95.7;16283;-1.1;648.0;44368;46.2;32.2;58.9;44274;44429;44259;73.6/85.9;104;103;1010;2757;-1748;-99;0.5;60.9;0.7;2.0;74.1/67.2;20.6/13.5;48.5/0.2;-99;44334;-99;44410;-99;76.9/76.7;93.9/92.9;19.8/36.0;44271;44451;0.0;78;42.8;40.5/1.6;871;20;99.9/99.4;87.9/72.5;-99;;
Democratic Republic of the Congo;MiddleAfrica;2344858;81340;35.9;99.6;37569;7.0;486.2;44458;44.2;35.9;65.3;44444;44467;44350;70.4/71.8;104;104;5103;5906;-803;-1546;44258;42.5;4.0;44292;59.5/56.7;46.3/4.7;545.7/0.7;2163.3;73.2;44259;...;44229;101.8/112.0;33.3/53.6;4.2/9.1;44447;53.0;44411;349;67.4;4.7/0.1;1179;16;81.1/31.2;28.5/28.7;44204;;
Denmark;NorthernEurope;42921;5734;135.1;99.0;301308;44348;53149.3;44228;44461;75.8;44288;44246;78.4;6.0;58.1/66.0;105;105;94355;85133;9222;27582;0.5;87.7;0.6;44378;82.2/78.1;16.5/25.3;572.5/10.1;48.2;44319;44418;44350;44355;100.7/102.3;133.4/128.3;96.3/69.7;37.4;128.3;96.3;47;44300;33.5/5.9;666;119;100.0/100.0;99.6/99.6;-99;;
Djibouti;EasternAfrica;23200;957;41.3;100.7;1737;44322;1956.3;44258;44307;75.3;44430;44462;53.2;44353;36.5/68.5;133;133;134;987;-852;-548;44378;77.3;44348;44199;63.2/60.0;31.1/6.4;112.4/12.7;44458;55.3;44357;0.2;...;60.9/68.6;43.5/52.9;4.0/5.9;44418;34.7;44450;98;0.2;0.7/0.8;3;13;97.4/64.7;59.8/5.1;...;;
Dominica;Caribbean;750;74;98.6;103.0;512;-1.8;7051.1;44301;44240;71.5;...;...;...;...;.../...;110;111;23;214;-191;-72;0.5;69.5;0.8;...;.../...;.../...;6.7/9.2;-99;-99;44321;...;-99;114.8/117.2;99.8/101.2;-99;25.0;106.3;67.6;66;58.1;0.1/1.9;0;29;95.7/...;.../...;13181;;
Dominican Republic;Caribbean;48671;10767;222.8;99.2;67103;7.0;6373.6;44353;28.0;65.4;44209;44455;70.0;44300;52.3/78.6;136;138;3747;22725;-18978;-1335;44228;79.0;44349;44318;76.4/70.2;29.3/10.2;415.6/3.9;44256;44221;44290;44317;...;98.7/108.1;81.7/74.1;65.0/35.4;44434;82.6;51.9;184;40.4;21.5/2.1;28;28;85.4/81.9;86.2/75.7;0.43;;
Ecuador;SouthAmerica;257217;16625;66.9;99.9;100177;0.2;6205.1;44206;34.1;55.8;44402;44246;55.1;44413;49.1/79.9;118;119;16798;16189;609;-2201;44348;63.7;44440;44349;78.4/72.8;28.4/10.5;387.5/2.4;133.1;44217;44236;44378;5.0;107.9/107.4;109.2/105.3;45.3/34.6;41.6;79.4;48.9;2358;50.8;43.9/2.8;1247;42;93.4/75.5;87.0/80.7;0.31;;
Egypt;NorthernAfrica;1002000;97553;98.0;102.3;315917;44231;3452.3;44238;36.3;52.5;44311;44280;49.3;44327;23.1/76.2;120;122;22507;58053;-35545;-16786;44229;43.1;44378;44289;73.0/68.7;33.5/7.9;491.6/0.5;256.5;44457;44352;0.8;...;103.8/104.1;85.9/86.3;35.6/36.9;44453;111.0;35.9;156;0.1;201.9/2.2;3509;36;100.0/99.0;96.8/93.1;0.78;;
El Salvador;CentralAmerica;21041;6378;307.8;88.5;25850;44318;4219.4;44418;44433;63.3;44365;44247;61.2;44292;49.5/79.5;111;117;5335;9855;-4519;-920;0.5;66.7;44287;44229;77.1/67.9;27.4/11.6;42.0/0.7;44381;17.0;44414;...;44319;106.8/111.4;79.7/79.2;30.5/27.7;32.1;145.3;44465;86;13.0;6.3/1.0;86;28;97.5/86.5;82.4/60.0;0.36;;
Equatorial Guinea;MiddleAfrica;28052;1268;45.2;124.0;13812;-7.4;16344.1;44228;73.1;44402;44426;18.0;63.2;44384;71.5/91.8;117;118;7443;5456;1987;-99;44231;39.9;44199;5.0;58.4/55.5;37.2/4.4;10.8/1.3;-99;70.0;44411;...;-99;78.2/80.0;.../...;.../...;24.0;66.7;44276;177;56.3;5.3/6.5;841;87;72.5/31.5;79.9/71.0;0.15;;
Eritrea;EasternAfrica;117600;5069;50.2;100.4;4783;44412;914.9;44244;44339;59.3;57.0;44354;35.4;44262;77.8/90.1;109;109;16;3325;-3310;-99;2.0;44369;44201;44290;65.6/61.4;41.8/5.3;15.9/0.3;44257;45.0;44258;...;...;45.9/53.2;28.1/32.9;1.7/3.4;22.0;7.0;44197;122;15.0;0.7/0.1;27;7;73.2/53.3;44.6/7.3;...;;
Estonia;NorthernEurope;45227;1310;44469;88.2;22460;44287;17112.0;44289;44313;69.2;44411;29.0;67.3;44234;55.4/69.4;136;136;13952;15759;-1807;493;-0.3;67.5;-0.4;44348;81.2/71.8;16.4/25.9;202.3/15.4;84.2;44230;44292;44258;44321;98.5/98.3;114.7/115.6;84.8/55.4;44403;148.7;88.4;23;52.7;19.5/14.8;242;193;100.0/99.0;97.5/96.6;-99;;
Ethiopia;EasternAfrica;1104300;104957;105.0;99.7;59917;44356;602.8;40.5;16.0;43.5;70.5;44294;44217;44382;77.1/89.1;158;157;1724;19121;-17397;...;44349;44335;44443;44351;65.5/61.9;40.6/5.3;1072.9/1.1;745.7;45.8;44443;...;44320;97.2/106.9;34.4/35.9;5.3/10.9;38.8;42.8;44358;148;44328;11.6/0.1;1308;15;93.1/48.6;27.2/28.2;46874;;
Falkland Islands (Malvinas);SouthAmerica;12173;3;0.2;110.5;-99;-99;-99;-99;-99;-99;-99;-99;-99;44228;77.2/86.0;96;105;4;17;-13;-99;0.3;76.2;1.0;-99;-99;16.4/15.7;1.6/54.1;-99;-99;-99;-99;-99;-99;-99;-99;-99;163.5;98.3;23;0.0;0.1/18.9;0;257;-99;-99;-99;;
Faroe Islands;NorthernEurope;1393;49;35.3;107.2;-99;-99;-99;-99;-99;-99;...;...;...;4.0;79.4/86.0;102;102;1192;976;216;...;0.2;42.0;0.5;44288;84.5/78.3;21.0/22.5;5.5/11.4;-99;-99;-99;-99;-99;-99;-99;-99;-99;127.3;94.2;21;0.1;0.6/12.4;1;182;-99;-99;-99;;
Fiji;Melanesia;18272;906;49.6;103.1;4391;44350;4921.9;44266;44214;70.7;44276;44441;75.8;44384;37.0/71.2;88;88;926;2316;-1391;-72;0.7;53.7;44317;44349;72.9/66.9;28.5/9.9;13.8/1.5;~0.0;16.0;44320;...;44442;105.1/106.0;93.4/84.3;.../...;16.0;108.2;46.3;291;55.4;1.2/1.3;8;26;99.5/91.2;93.4/88.4;16834;;
Finland;NorthernEurope;338440;5523;44245;97.2;231960;0.2;42148.1;44318;44434;70.6;44231;22.0;73.8;44447;54.5/61.7;101;101;57326;60502;-3176;-979;0.4;84.2;0.5;44409;83.7/77.7;16.4/27.8;315.9/5.7;32.6;44257;44386;3.0;44234;101.4/101.7;156.3/142.8;95.6/79.3;42.0;135.5;92.7;36;73.1;47.3/8.6;757;257;100.0/100.0;99.4/88.0;-99;;
France;WesternEurope;551500;64980;118.7;96.7;2418946;44256;36304.2;44378;44335;78.8;44379;44336;76.8;44417;50.3/59.4;103;103;488885;560555;-71670;-4861;0.4;79.5;0.8;2.0;85.0/78.8;18.1/25.7;7784.4/12.1;356.2;44289;44327;44230;44321;105.0/105.7;111.2/110.1;71.0/57.9;44433;102.6;84.7;278;44438;303.3/4.7;5694;158;100.0/100.0;98.6/98.9;-99;;
French Guiana;SouthAmerica;83534;283;44289;100.0;-99;-99;-99;-99;-99;-99;-99;44453;58.3;44276;48.4/58.8;120;120;-99;-99;-99;-99;44410;84.4;44410;44319;82.6/76.1;33.2/8.4;106.1/39.5;-99;44264;-99;-99;-99;-99;-99;-99;-99;-99;-99;73;98.9;0.7/2.8;3;50;94.5/75.1;94.9/75.8;-99;;
French Polynesia;Polynesia;4000;283;77.3;103.7;5135;44348;18161.0;44410;44450;85.2;44447;44455;74.2;17.0;46.4/63.0;98;98;173;1491;-1319;208;0.7;55.9;0.9;44198;78.6/74.0;23.3/11.9;30.1/10.6;-99;44445;-99;-99;-99;-99;-99;-99;-99;94.9;64.6;175;42.3;0.8/2.9;1;43;100.0/100.0;98.5/98.5;-99;;
Gabon;MiddleAfrica;267668;2025;44446;105.6;13735;44442;7960.7;44411;54.5;41.7;44243;44215;64.8;44214;40.7/58.3;97;92;2851;2930;-79;...;44258;87.2;44379;4.0;65.8/63.1;35.9/6.4;268.4/15.6;44441;40.8;44289;...;44379;139.9/144.0;-99;.../...;44213;168.9;44339;270;88.5;5.2/3.1;559;64;97.2/66.7;43.4/31.5;0.73;;
Gambia;WesternAfrica;11295;2101;207.6;98.0;942;44381;473.2;44217;44453;64.0;44316;44300;55.2;44406;72.2/82.6;82;82;32;471;-439;...;44199;59.6;44259;44352;61.6/59.1;45.3/3.8;192.5/9.7;44446;49.8;44262;...;44410;96.8/90.1;.../...;2.5/3.7;44295;131.3;44213;67;48.1;0.5/0.3;7;7;94.2/84.4;61.5/55.0;13119;;
Georgia;WesternAsia;69700;3912;56.3;91.4;13965;44410;3491.4;9.0;44220;66.9;44.7;44238;44.1;44297;57.9/79.0;85;86;2114;7236;-5122;-1775;-1.4;53.6;-0.1;2.0;77.0/68.5;19.2/20.8;168.8/4.2;274.1;44238;44293;44412;2.0;118.2/115.5;103.8/103.6;47.8/39.2;16.0;129.0;45.2;120;40.6;9.0/2.2;61;47;100.0/100.0;95.2/75.9;11018;;
Germany;WesternEurope;357376;82114;235.6;97.0;3363600;44378;41686.2;0.6;44346;68.9;44287;44343;71.2;44231;54.5/66.1;111;111;1340752;1060672;280080;279969;0.2;75.3;0.2;44287;82.9/77.9;13.1/28.0;12005.7/14.9;1052.1;44289;44266;44200;5.0;104.7/105.2;99.6/105.6;66.8/69.7;37.0;116.7;87.6;116;32.7;719.9/8.9;5004;158;100.0/100.0;99.3/99.0;-99;;
Ghana;WesternAfrica;238537;28834;126.7;99.3;37156;44442;1355.6;19.0;44465;54.1;41.9;44241;43.8;44444;75.7/78.8;144;144;7221;11939;-4718;-2809;44288;54.0;44289;44231;62.6/60.7;38.5/5.3;399.5/1.5;44282;46.5;44350;...;44233;108.7/107.3;61.1/63.1;13.2/19.1;44389;129.7;44339;238;40.9;14.5/0.6;410;14;92.6/84.0;20.2/8.6;29677;;
Gibraltar;SouthernEurope;6;35;3457.1;101.8;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;.../...;-99;-99;234;533;-299;-99;0.6;100.0;0.1;-99;.../...;18.1/22.4;11.1/34.3;-99;-99;-99;-99;-99;-99;-99;-99;-99;129.5;65.0;31;0.0;0.5/16.5;-99;259;-99;-99;-99;;
Greece;SouthernEurope;131957;11160;86.6;96.9;194860;-0.2;17788.0;44200;44392;80.2;44451;15.0;72.1;23.0;44.1/60.1;86;87;27811;47595;-19784;218;-0.4;78.0;0.5;44256;83.3/78.0;14.2/26.5;1242.5/11.3;94.7;44258;44204;44261;...;97.1/98.1;103.4/109.5;113.7/114.0;44273;114.0;66.8;374;31.2;67.3/6.1;368;89;100.0/100.0;99.2/98.1;-99;;
Greenland;NorthernAmerica;2166086;56;0.1;112.1;2078;0.3;36976.7;10.0;44454;74.1;44351;44359;82.5;44386;-99;99;99;553;623;-71;-99;-0.1;86.4;0.7;2.0;73.4/68.7;21.0/13.2;6.0/10.7;-99;-99;-99;-99;-99;-99;-99;-99;-99;106.5;67.6;23;~0.0;0.5/9.0;2;154;100.0/100.0;100.0/100.0;-99;;
Grenada;Caribbean;345;108;317.1;100.9;954;44233;8933.8;44263;44452;77.8;-99;-99;-99;...;-99;103;103;30;350;-320;-213;0.4;35.6;0.3;44229;75.6/70.8;26.3/10.5;7.1/6.6;~0.0;44356;44202;...;...;102.9/106.8;99.0/99.4;97.9/84.5;33.3;112.2;53.8;54;50.0;0.2/2.3;0;35;99.0/95.3;97.5/98.3;20121;;
Guadeloupe;Caribbean;1705;450;266.0;86.4;-99;-99;-99;-99;-99;-99;44258;44329;65.5;44222;49.6/56.5;100;100;-99;-99;-99;-99;-~0.0;98.4;0.5;2.0;84.0/76.8;18.6/23.6;98.5/21.0;-99;44413;-99;-99;-99;-99;-99;-99;-99;-99;-99;73;43.0;2.6/5.5;5;80;99.3/99.8;97.0/89.5;-99;;
Guam;Micronesia;549;164;304.1;102.6;-99;-99;-99;-99;-99;-99;0.2;14.0;85.7;44387;55.2/68.7;88;88;-99;-99;-99;-99;0.3;94.5;44287;44288;81.5/76.4;24.7/14.0;76.1/44.8;-99;44356;-99;-99;-99;-99;-99;-99;-99;...;73.1;99;46.3;-99;-99;-99;99.5/99.5;89.8/89.8;-99;;
Guatemala;CentralAmerica;108889;16914;157.8;96.9;63794;44200;3903.5;44418;44254;62.0;32.0;44334;49.4;44288;41.7/84.0;158;158;10572;16987;-6415;-96;44198;51.6;44289;44230;75.6/69.2;35.1/6.9;76.4/0.5;44409;44465;44233;...;3.0;99.8/103.8;63.3/67.9;23.5/20.2;44389;111.5;44223;290;33.4;18.3/1.1;327;32;98.4/86.8;77.5/49.3;0.66;;
Guinea-Bissau;WesternAfrica;36125;1861;66.2;96.9;978;44412;530.0;45.0;44330;40.5;60.1;44413;34.1;44322;67.4/78.5;137;138;885;212;673;-53;44349;49.3;44200;44443;57.7/54.3;41.5/4.9;22.3/1.2;44416;80.4;44352;...;44229;.../...;.../...;-99;44390;69.3;44319;77;70.5;0.3/0.1;25;17;98.8/60.3;33.5/8.5;44264;;
Guinea;WesternAfrica;245857;12717;51.8;100.6;8875;0.1;703.9;44427;32.8;47.4;69.7;44293;44461;44414;79.4/85.1;130;131;1753;2082;-329;-1240;44257;37.2;44411;44201;58.4/57.4;42.3/5.2;228.4/1.8;44236;65.7;44352;...;44230;83.8/98.6;30.7/46.8;6.7/14.9;44460;87.2;44381;185;26.0;2.4/0.2;113;12;92.7/67.4;34.1/11.8;23955;;
Guyana;SouthAmerica;214969;778;4.0;101.9;3282;44199;4278.8;44364;44408;50.6;44304;44311;56.2;44266;41.9/77.0;142;143;1453;1625;-172;-144;0.6;44375;0.8;44349;68.6/64.0;29.0/8.6;15.4/2.0;~0.0;33.2;44232;...;44230;83.9/86.9;89.0/89.7;16.8/8.2;31.9;67.2;38.2;94;84.0;2.0/2.6;7;46;98.2/98.3;87.9/82.0;0.97;;
Haiti;Caribbean;27750;10981;398.4;97.8;8501;44378;793.7;44393;38.2;45.1;46.9;44359;40.6;44451;62.0/71.7;163;166;984;3316;-2332;-723;44287;58.6;44411;44199;64.4/60.2;33.0/7.3;39.5/0.4;44440;46.9;44354;-99;-99;-99;-99;-99;44349;69.9;44239;205;44319;2.9/0.3;136;16;64.9/47.6;33.6/19.2;26969;;
Holy See;SouthernEurope;~0;1;1800.0;219.2;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;~0.0;100.0;~0.0;-99;-99;-99;0.8/100.0;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;1;-99;-99;-99;-99;-99;-99;-99;;
Honduras;CentralAmerica;112492;9265;82.8;99.4;20365;44350;2521.9;13.0;44221;61.9;44315;44368;49.0;44352;47.6/84.5;122;119;3657;8448;-4791;-1291;44409;54.7;44199;44349;75.4/70.4;31.6/7.0;28.1/0.3;176.2;44435;44385;...;44444;110.1/111.3;77.0/64.8;25.4/18.8;44433;95.5;44306;301;42.1;9.5/1.2;105;28;97.4/83.8;86.7/77.7;31444;;
Hungary;EasternEurope;93024;9722;107.4;90.7;121715;44199;12350.6;44200;31.9;64.0;44259;44437;65.9;44320;46.6/62.4;99;99;103071;92044;11027;3946;-0.3;71.2;0.5;44256;78.8/71.7;14.3/26.0;449.6/4.6;44300;44443;44293;44258;44381;101.3/101.9;105.3/105.1;56.7/45.3;44206;118.9;72.8;66;44430;42.1/4.3;423;97;100.0/100.0;97.8/98.6;-99;;
Iceland;NorthernEurope;103000;335;44258;100.7;16780;44231;50936.0;44292;24.0;69.7;4.0;44394;78.2;44350;70.3/77.2;117;117;4450;5703;-1254;854;0.6;94.1;44256;2.0;83.8/80.6;20.1/20.1;37.5/11.4;0.5;44348;44447;44411;44415;98.6/99.7;121.0/116.3;103.1/60.2;47.6;114.0;98.2;27;0.5;2.0/6.1;284;952;100.0/100.0;98.7/100.0;-99;;
India;SouthernAsia;3287263;1339180;450.4;107.6;2116239;44354;1614.2;17.0;44406;53.2;44.3;44340;31.2;44289;27.0/79.1;143;142;260327;356705;-96378;-22457;44228;32.7;44288;44288;69.1/66.2;27.8/9.4;5241.0/0.4;211.1;41.3;44381;0.7;44411;115.1/102.8;74.5/73.5;26.7/27.0;44419;78.8;26.0;1052;44400;2238.4/1.7;23103;27;97.1/92.6;62.6/28.5;0.16;;
Indonesia;South-easternAsia;1910931;263991;145.7;101.4;861934;44412;3346.5;14.0;41.3;44.7;31.4;44308;46.2;44413;51.0/83.7;139;140;144490;135653;8837;-17697;44228;53.7;44379;44288;70.7/66.6;27.4/8.6;328.8/0.1;44421;25.0;44410;0.2;44350;104.4/107.2;86.0/85.7;25.7/22.9;44427;132.4;22.0;1281;50.6;464.2/1.8;19481;35;94.2/79.5;72.3/47.5;0.00;;
Iran (Islamic Republic of);SouthernAsia;1628750;81163;49.8;101.2;398563;0.4;5038.1;44355;39.1;52.3;44363;32.5;50.9;44266;16.3/73.2;106;107;45627;35333;10294;-99;44228;73.4;44198;44378;76.2/74.0;23.7/8.8;2726.4/3.4;978.3;44422;44323;44317;44441;111.7/106.3;88.9/89.4;67.7/75.9;44444;93.4;44.1;134;44353;649.5/8.3;13291;127;97.7/92.1;92.8/82.3;0.02;;
Iraq;WesternAsia;435052;38275;88.1;102.5;164234;-2.4;4509.0;44351;58.0;37.4;44306;21.0;58.6;44212;15.3/69.9;123;123;27341;45831;-18490;4121;44230;69.5;3.0;44351;71.4/67.0;40.4/5.0;353.9/1.0;4736.2;32.1;44321;0.9;-99;.../...;.../...;.../...;44280;93.8;44244;72;44440;168.4/4.8;6744;58;93.8/70.1;86.4/83.8;0.88;;
Ireland;NorthernEurope;69797;4762;69.1;98.4;283716;44281;60513.6;1.0;41.7;57.3;44412;44394;77.4;44354;51.9/67.1;102;102;129315;76997;52318;28967;0.3;63.2;44348;2.0;83.0/78.7;21.6/19.1;746.3/15.9;44326;44289;44415;44410;44260;102.0/100.9;129.4/125.6;87.6/80.1;44249;103.7;80.1;50;44449;34.1/7.3;84;114;97.9/97.8;89.1/92.9;-99;;
Isle of Man;NorthernEurope;572;84;147.9;98.2;-99;-99;-99;-99;-99;-99;...;...;...;44349;57.5/69.3;-99;-99;-99;-99;-99;-99;0.8;52.2;0.8;-99;-99;16.0/26.9;45.2/51.5;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;3;44202;-99;0;3;-99;-99;-99;;
Israel;WesternAsia;22072;8322;384.5;98.7;299413;44318;37129.4;44256;44248;77.5;1.0;44456;81.0;44444;58.5/69.0;112;112;60571;65803;-5232;13642;44348;92.1;44287;3.0;83.7/80.0;27.9/16.1;2011.7/24.9;44.7;44289;44415;44350;44413;105.1/104.4;103.0/102.0;75.5/54.6;44343;133.5;78.9;174;44323;64.6/8.1;313;119;100.0/100.0;100.0/100.0;-99;;
Italy;SouthernEurope;302073;59360;201.8;95.1;1821580;0.7;30462.4;44229;44339;74.2;44319;44223;69.4;44297;39.2/57.8;89;89;461529;404578;56951;29348;-0.1;69.0;0.4;44287;84.7/79.9;13.5/29.4;5788.9/9.7;216.7;3.0;44236;44442;44200;100.6/101.4;101.7/104.1;72.2/53.2;31.0;151.3;65.6;359;31.4;320.4/5.4;1539;103;100.0/100.0;99.5/99.6;-99;;
Jamaica;Caribbean;10990;2890;266.9;99.0;14262;1.0;5105.8;44203;44277;70.5;44456;44270;66.8;44209;58.1/72.7;102;102;1202;4767;-3565;-400;0.4;54.8;0.9;44198;77.9/73.1;22.7/13.6;23.2/0.8;~0.0;15.0;44291;...;44321;.../...;85.1/79.2;34.6/20.1;44333;111.5;43.2;311;31.0;7.4/2.7;8;37;97.5/89.4;79.9/84.1;0.42;;
Japan;EasternAsia;377930;127484;349.7;95.4;4383076;44228;34628.7;44228;44312;72.4;44380;44342;69.8;3.0;48.9/69.7;96;97;644932;606924;38008;135608;-0.1;93.5;0.6;44287;86.4/80.0;12.9/33.4;2043.9/1.6;44305;44229;44237;44257;44350;101.2/101.3;101.9/101.6;60.9/65.7;44264;125.0;93.3;404;68.5;1214.0/9.6;1114;146;100.0/100.0;100.0/100.0;-99;;
Jordan;WesternAsia;89318;9702;109.3;102.6;37517;44288;4940.1;4.0;44404;68.4;2.0;44425;80.2;44299;14.5/64.5;134;135;7509;19207;-11698;-3332;44443;83.7;44411;44350;75.5/72.2;35.5/5.7;3112.0/41.0;721.4;44213;44323;44349;-99;97.6/97.1;84.8/80.2;47.3/42.5;44301;179.4;53.4;113;44197;26.5/3.6;7;47;97.8/92.3;98.6/98.9;29342;;
Kazakhstan;CentralAsia;2724902;18204;44383;93.9;181754;44228;10312.1;5.0;32.5;62.5;44214;44306;61.6;44352;66.3/77.5;126;127;36775;25175;11601;-5464;44348;53.2;0.9;44379;73.9/64.3;27.9/11.1;3546.8/20.1;44236;44210;44290;44258;44410;109.1/108.8;113.5/110.6;51.3/41.4;44223;187.2;72.9;82;44228;248.3/14.3;7091;193;99.4/85.6;97.0/98.1;0.05;;
Kenya;EasternAfrica;591958;49700;87.3;98.8;63399;44352;1376.7;32.0;19.0;49.0;61.9;44355;44345;44418;62.4/72.4;126;126;5688;14109;-8420;-6339;44379;44372;44259;44200;67.8/63.0;40.5/4.3;1084.4/2.4;582.4;39.4;44382;0.2;44260;108.7/109.3;.../...;.../...;44305;80.7;45.6;480;44384;14.3/0.3;750;20;81.6/56.8;31.2/29.7;34029;;
Kiribati;Micronesia;726;116;143.7;97.3;162;44380;1442.9;44220;44360;62.2;...;...;...;...;.../...;61;61;3;116;-113;45;44409;44.3;44409;44411;68.9/62.4;35.0/6.4;3.2/2.8;-99;46.9;44237;0.2;...;106.1/102.9;.../...;-99;44322;38.8;13.0;104;15.0;0.1/0.6;0;8;87.3/50.6;51.2/30.6;44336;;
Kuwait;WesternAsia;17818;4136;232.1;134.9;114054;44409;29303.9;0.6;48.7;50.7;44349;44282;70.1;44229;47.7/83.6;199;199;46238;30825;15413;8584;44291;98.3;44350;2.0;75.5/73.5;21.1/4.9;2866.1/73.6;94.7;44294;3.0;44440;...;103.0/102.4;102.7/88.2;33.1/20.4;44199;231.8;82.1;49;0.4;95.4/25.4;6941;380;99.0/99.0;100.0/100.0;-99;;
Kyrgyzstan;CentralAsia;199949;6045;44347;98.4;6572;44319;1106.4;44301;44464;58.7;29.2;21.0;49.8;44384;49.7/77.5;108;110;1423;3844;-2421;-721;44348;35.7;44348;44199;74.3/66.4;31.8/7.6;204.4/3.4;44235;44366;44322;44440;44321;106.8/107.9;92.8/91.4;53.3/40.8;44246;132.8;30.2;44;44289;9.6/1.7;80;27;96.7/86.2;89.1/95.6;42705;;
