country;Region;Surface area (km2);Population in thousands (2017);Population density (per km2, 2017);Sex ratio (m per 100 f, 2017);GDP: Gross domestic product (million current US$);GDP growth rate (annual %, const. 2005 prices);GDP per capita (current US$);Economy: Agriculture (% of GVA);Economy: Industry (% of GVA);Economy: Services and other activity (% of GVA);Employment: Agriculture (% of employed);Employment: Industry (% of employed);Employment: Services (% of employed);Unemployment (% of labour force);Labour force participation (female/male pop. %);Agricultural production index (2004-2006=100);Food production index (2004-2006=100);International trade: Exports (million US$);International trade: Imports (million US$);International trade: Balance (million US$);Balance of payments, current account (million US$);Population growth rate (average annual %);Urban population (% of total population);Urban population growth rate (average annual %);Fertility rate, total (live births per woman);Life expectancy at birth (females/males, years);Population age distribution (0-14 / 60+ years, %);International migrant stock (000/% of total pop.);Refugees and others of concern to UNHCR (in thousands);Infant mortality rate (per 1000 live births;Health: Total expenditure (% of GDP);Health: Physicians (per 1000 pop.);Education: Government expenditure (% of GDP);Education: Primary gross enrol. ratio (f/m per 100 pop.);Education: Secondary gross enrol. ratio (f/m per 100 pop.);Education: Tertiary gross enrol. ratio (f/m per 100 pop.);Seats held by women in national parliaments %;Mobile-cellular subscriptions (per 100 inhabitants);Individuals using the Internet (per 100 inhabitants);Threatened species (number);Forested area (% of land area);CO2 emission estimates (million tons/tons per capita);Energy production, primary (Petajoules);Energy supply per capita (Gigajoules);Pop. using improved drinking water (urban/rural, %);Pop. using improved sanitation facilities (urban/rural, %);Net Official Development Assist. received (% of GNI);;
Saint Kitts and Nevis;Caribbean;261;55;212.9;97.0;876;44411;15771.9;44228;44224;70.7;...;...;...;...;.../...;39;39;51;332;-280;-63;44197;32.0;44256;-99;-99;.../...;7.4/13.4;~0.0;-99;44201;...;44410;83.4/81.7;92.8/88.0;107.2/52.6;44268;131.8;75.7;52;42.3;0.2/4.2;0;59;98.3/98.3;.../...;34029;;
Saint Lucia;Caribbean;539;179;293.2;95.9;1450;44440;7839.4;44379;44451;84.4;44422;44364;67.6;19.0;63.1/76.6;69;69;120;654;-535;-100;0.5;44334;0.9;44317;77.6/72.2;18.9/13.7;12.8/6.9;~0.0;44449;44383;...;44443;.../...;84.8/85.5;22.0/11.6;44393;101.5;52.4;62;33.4;0.4/2.2;0;33;99.5/95.6;84.7/91.9;0.97;;
Saint Pierre and Miquelon;NorthernAmerica;242;6;44343;98.2;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;112;112;653;2629;-1976;-99;~0.0;90.4;0.1;-99;-99;.../...;1.0/15.7;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;12;44267;0.1/12.2;0;174;-99;-99;-99;;
Saint Vincent and the Grenadines;Caribbean;389;110;281.8;101.7;738;44348;6739.2;44323;44244;75.3;44218;44212;61.8;44215;56.4/76.9;115;115;47;335;-288;-210;~0.0;50.6;0.7;2.0;74.9/70.7;23.8/11.7;4.6/4.2;-99;44332;44355;...;...;103.2/105.8;105.0/107.9;-99;13.0;103.6;51.8;58;69.2;0.2/1.9;0;29;95.1/95.1;.../...;29221;;
Samoa;Polynesia;2842;196;69.4;106.6;774;44410;4006.0;44264;44251;66.6;44260;44422;79.8;44322;23.3/58.2;107;107;56;350;-294;-44;0.8;44215;-0.2;44231;77.4/71.1;36.6/8.5;4.9/2.6;~0.0;18.0;44234;...;...;106.7/106.7;89.5/80.7;.../...;10.0;58.5;44311;93;60.4;0.2/1.0;2;24;97.5/99.3;93.3/91.1;27729;;
San Marino;SouthernEurope;61;33;556.7;94.9;1565;1.0;49240.2;0.1;33.3;66.6;...;...;...;44353;.../...;-99;-99;-99;-99;-99;-99;44228;94.2;0.6;...;86.4/81.7;15.0/24.1;4.7/14.8;-99;-99;44202;44292;44288;92.6/93.9;95.9/93.5;69.9/50.5;44403;115.2;49.6;1;0.0;-99;-99;-99;-99;-99;-99;;
Sao Tome and Principe;MiddleAfrica;964;204;212.8;99.2;334;4.0;1752.8;44267;44391;73.0;44249;44329;64.3;44360;45.4/76.2;119;119;10;139;-129;-69;44229;65.1;44350;44381;68.2/64.0;42.8/4.3;2.4/1.3;-99;43.8;44204;...;44411;112.2/117.7;91.7/80.8;13.6/13.2;44245;65.1;44433;94;55.8;0.1/0.6;1;14;98.9/93.6;40.8/23.3;14580;;
Saudi Arabia;WesternAsia;2206714;32938;44270;132.9;653219;44289;20710.6;44257;46.0;51.8;44444;44399;71.4;44321;20.0/78.5;96;96;182329;135904;46426;-56724;44410;83.1;44198;44379;75.6/72.7;25.2/5.6;10185.9/32.3;70.2;13.0;44381;44349;...;111.1/107.9;93.7/122.6;61.8/64.4;44458;176.6;69.6;131;0.5;601.0/19.5;25904;287;97.0/97.0;100.0/100.0;...;;
Senegal;WesternAfrica;196712;15851;82.3;96.6;13633;44322;901.1;44331;44220;60.4;51.4;44397;44466;44264;45.3/70.5;126;127;2640;5478;-2838;-1348;3.0;43.7;44350;5.0;67.5/63.8;42.9/4.7;263.2/1.7;44364;43.9;44381;...;44293;86.9/77.6;49.1/50.2;7.8/12.9;42.7;100.0;44398;123;43.2;8.9/0.6;77;11;92.9/67.3;65.4/33.8;18050;;
Serbia;SouthernEurope;88499;8791;100.5;95.6;37160;0.8;5238.6;44235;31.4;60.5;44305;44340;56.1;44331;43.4/59.9;102;102;14852;19231;-4379;-1751;-0.4;55.6;-0.3;44348;77.5/71.8;16.5/24.5;807.4/9.1;254.1;44417;44296;44318;44231;101.2/101.5;97.4/96.0;66.9/50.2;34.4;120.5;65.3;71;44227;37.7/4.3;393;62;99.4/98.9;98.2/94.2;0.90;;
Seychelles;EasternAfrica;457;95;206.0;97.2;1363;44414;14133.2;44379;44360;83.8;44350;44456;78.2;44200;61.9/68.3;105;109;335;833;-498;-256;0.5;53.9;44197;44288;77.9/68.7;22.2/13.3;12.8/13.3;-99;44237;44289;1.0;44350;103.6/101.1;84.5/78.8;19.6/9.3;44248;158.1;58.1;439;88.4;0.5/5.2;0;72;95.7/95.7;98.4/98.4;0.50;;
Sierra Leone;WesternAfrica;72300;7557;104.7;98.1;4483;-20.3;694.8;51.4;44364;44227;68.0;44322;44341;44199;65.1/68.8;168;168;466;958;-492;-1317;44257;39.9;44379;44412;50.7/49.6;42.1/4.2;91.2/1.4;0.8;94.4;44207;...;44379;128.2/127.0;40.1/46.5;.../...;44298;89.5;44318;177;41.3;1.3/0.2;53;11;84.9/47.8;22.8/6.9;21.56;;
Singapore;South-easternAsia;719;5709;8155.5;97.7;292734;2.0;52239.0;~0.0;44312;73.6;0.3;17.0;82.6;2.0;57.8/76.1;112;112;329871;283009;46862;57922;44378;100.0;2.0;44228;84.5/80.1;15.0/19.5;2543.6/45.4;~0.0;44198;44443;44440;44441;-99;-99;-99;44431;146.1;82.1;293;44219;56.4/10.2;27;209;100.0/...;100.0/...;-99;;
Sint Maarten (Dutch part);Caribbean;34;40;1180.0;95.7;1094;0.5;28241.7;0.1;44267;87.6;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;23;44199;100.0;2.0;-99;77.1/69.2;21.0/10.4;27.3/70.4;~0.0;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;51;-99;0.7/19.5;-99;303;-99;-99;-99;;
Slovakia;EasternEurope;49035;5448;113.3;94.6;87268;44411;16082.5;44380;34.8;61.5;44258;34.5;62.2;44448;51.4/68.0;97;97;77565;75156;2409;193;0.1;53.6;-0.3;44287;79.8/72.6;15.4/21.8;177.2/3.3;44379;44382;44204;44289;44231;99.2/100.2;92.8/92.1;64.6/41.8;20.0;122.3;85.0;54;40.3;30.7/5.6;264;121;100.0/100.0;99.4/98.2;-99;;
Slovenia;SouthernEurope;20273;2080;103.3;98.6;42777;44257;20689.8;44288;32.7;64.9;44447;44376;61.5;44204;51.8/62.2;89;89;27585;26646;939;2216;0.3;49.7;0.1;44348;83.2/77.2;15.0/26.3;236.0/11.4;0.6;44318;44236;44410;44321;99.4/99.2;110.5/110.8;98.5/68.2;36.7;113.2;73.1;143;62.0;12.8/6.2;154;135;99.7/99.4;99.1/99.1;-99;;
Solomon Islands;Melanesia;28896;611;44429;103.4;1075;44230;1841.6;44255;44362;56.3;48.1;44288;49.5;31.4;61.1/73.5;118;118;437;454;-17;-36;44198;44277;44231;44200;71.1/68.3;38.8/5.4;2.6/0.4;~0.0;30.0;44201;0.2;...;113.6/115.0;47.0/49.8;-99;2.0;72.7;10.0;245;78.3;0.2/0.4;3;11;93.2/77.2;81.4/15.0;16.47;;
Somalia;EasternAfrica;637657;14742;44339;99.3;1559;44379;144.5;60.2;44293;32.5;72.0;44412;44250;44353;33.3/75.9;112;112;925;530;394;-99;44441;39.6;44200;44353;56.5/53.3;46.4/4.4;25.3/0.2;1168.4;79.5;-99;~0.0;-99;.../...;.../...;-99;44251;52.5;44409;175;44265;0.6/0.1;129;12;69.6/8.8;52.0/6.3;22.85;;
South Africa;SouthernAfrica;1221037;56717;46.8;96.4;314571;44256;5773.0;44288;44467;68.7;44202;44253;67.7;26.0;46.4/61.1;125;126;74111;74744;-633;-13644;44287;64.8;44348;44349;63.0/56.1;29.0/8.4;3142.5/5.8;1201.9;36.5;44416;0.8;6.0;97.3/102.2;111.5/88.0;23.3/15.7;42.2;159.3;51.9;581;44354;489.8/9.1;7102;122;99.6/81.4;69.6/60.5;0.47;;
South Sudan;EasternAfrica;658841;12576;44367;100.4;13167;2.0;1067.0;44351;58.0;37.4;-99;-99;-99;...;.../...;-99;-99;2389;750;1640;-935;44258;44426;44201;44232;56.0/54.1;41.7/5.1;824.1/6.7;2231.2;77.7;44379;-99;44409;53.1/74.9;6.6/12.3;-99;44344;44462;44456;49;-99;1.5/0.1;337;2;66.7/56.9;16.4/4.5;44398;;
Spain;SouthernEurope;505944;46354;92.9;96.2;1192955;44230;25865.4;44349;44370;73.7;44442;44246;76.8;44273;52.1/64.2;102;102;281777;302539;-20762;16208;-0.2;79.6;0.7;44256;85.3/79.6;14.7/25.3;5853.0/12.7;44436;44441;9.0;44411;44259;105.6/104.5;129.6/130.0;97.1/82.5;39.1;107.9;78.7;617;36.8;234.0/5.1;1432;102;100.0/100.0;99.8/100.0;-99;;
Sri Lanka;SouthernAsia;65610;20877;332.9;92.5;82316;44412;3973.7;44385;44407;60.6;44313;44464;46.6;44232;30.4/75.0;120;122;10546;19501;-8955;-2009;0.5;44304;0.8;44198;78.0/71.2;24.0/14.9;38.7/0.2;44.2;44235;44319;...;44229;100.6/102.7;102.0/97.5;24.0/15.6;44413;112.8;30.0;587;33.1;18.4/0.9;179;20;98.5/95.0;88.1/96.7;0.53;;
State of Palestine;WesternAsia;6020;4921;817.4;102.9;12677;44319;2715.5;44412;44309;71.9;44385;44437;61.5;44251;18.4/69.7;90;90;929;5058;-4128;-1713;44379;75.3;44410;44231;74.8/71.1;39.6/4.6;255.5/5.5;~0.0;20.0;-99;-99;44256;94.3/94.4;87.0/79.2;54.4/34.5;-99;77.6;57.4;31;44317;2.8/0.6;9;15;50.7/81.5;93.0/90.2;17.52;;
Sudan;NorthernAfrica;-99;40533;23.0;99.9;79546;44443;1977.0;32.4;44216;47.6;32.9;44306;46.7;44299;24.4/72.2;-99;-99;1797;7658;-5861;-5933;44257;33.8;44318;44412;65.1/62.1;40.8/5.5;503.5/1.3;3619.6;48.7;44294;44199;...;66.6/74.1;41.5/43.9;16.8/15.8;44346;70.5;44373;133;-99;15.4/0.4;682;16;-99;-99;44440;;
Suriname;SouthAmerica;163820;563;44350;100.7;4879;-2.7;8985.3;44297;44313;61.1;44289;44277;74.3;44448;40.5/68.6;152;152;1437;1244;193;-808;1.0;66.0;0.8;44318;74.2/67.8;26.4/10.4;46.8/8.6;~0.0;44303;44382;...;-99;121.4/124.2;90.9/71.7;.../...;44341;180.7;42.8;83;98.3;2.0/3.7;44;62;98.1/88.4;88.4/61.4;0.32;;
Swaziland;SouthernAfrica;17363;1367;79.5;93.9;4133;44378;3211.7;44353;42.1;51.3;22.0;17.0;61.0;44221;40.6/65.1;114;115;1881;733;1149;281;44409;44276;44256;44258;58.2/51.6;37.2/4.8;31.6/2.5;44197;56.3;44264;...;7.0;108.0/117.5;65.8/66.2;5.5/5.2;44233;73.2;44316;34;33.8;1.2/1.0;39;40;93.6/68.9;63.1/56.0;14277;;
Sweden;NorthernEurope;438574;9911;44251;100.2;495694;44200;50687.5;44256;44281;72.4;44409;44245;79.9;44262;60.7/68.0;100;100;139574;140838;-1263;23250;0.8;85.8;0.8;44440;83.7/80.0;17.5/25.5;1639.8/16.8;348.5;44288;44450;44200;44384;125.6/120.6;150.0/131.5;75.7/49.6;43.6;130.4;90.6;54;68.9;43.4/4.5;1428;206;100.0/100.0;99.2/99.6;-99;;
Switzerland;WesternEurope;41291;8476;214.5;98.2;670790;0.8;80831.1;0.7;44341;73.8;44319;44306;76.1;44351;62.5/74.5;106;106;304691;269157;35534;77378;44228;73.9;44197;44317;84.8/80.5;14.9/24.1;2438.7/29.4;110.1;44442;44388;44200;44201;103.8/104.1;99.4/103.0;58.5/56.9;32.5;142.0;88.0;74;31.6;35.3/4.3;552;126;100.0/100.0;99.9/99.8;-99;;
Syrian Arab Republic;WesternAsia;185180;18270;99.5;102.1;28393;-5.3;1534.5;44397;30.0;49.3;44334;39.2;42.3;44421;12.4/70.9;65;68;1265;2383;-1118;...;-2.3;57.7;44287;44199;76.3/64.4;36.6/6.8;875.2/4.7;6768.5;44456;44258;44317;...;78.7/81.4;50.5/50.5;47.0/41.3;44240;62.4;30.0;132;44379;30.7/1.7;237;24;92.3/87.2;96.2/95.1;...;;
Tajikistan;CentralAsia;142600;8921;63.7;100.9;7853;44231;925.9;25.0;28.0;47.1;57.2;44299;44315;44418;59.6/77.9;155;172;899;3030;-2132;-472;44229;44434;44349;44319;73.5/67.7;35.3/5.8;275.1/3.2;44429;38.9;44445;44378;44232;101.2/99.8;83.1/92.5;24.0/33.6;19.0;98.6;19.0;45;3.0;5.2/0.6;76;14;93.1/66.7;93.8/95.5;20180;;
Thailand;South-easternAsia;513120;69038;135.1;95.2;395168;44410;5814.8;44205;35.7;55.1;34.0;44399;43.3;0.6;62.7/79.8;129;126;213927;195666;18260;32149;0.4;50.4;3.0;44317;78.4/70.8;17.3/16.9;3913.3/5.8;554.1;44238;44200;...;44200;99.2/106.1;125.3/132.6;57.3/40.5;44443;125.8;39.3;611;32.0;316.2/4.7;3338;83;97.6/98.0;89.9/96.1;0.02;;
The former Yugoslav Republic of Macedonia;SouthernEurope;25713;2083;82.6;100.0;10052;44411;4836.1;12.0;44466;65.1;44243;29.2;54.5;44282;43.9/67.8;111;112;4785;6757;-1972;-204;0.1;57.1;0.1;44317;77.2/73.2;16.7/19.5;130.7/6.3;44287;9.0;44322;44410;...;92.8/93.6;78.2/80.3;46.8/37.5;44408;105.4;70.4;110;39.6;7.5/3.6;53;53;99.8/98.9;97.2/82.6;43132;;
Timor-Leste;South-easternAsia;14919;1296;87.2;103.2;2873;44259;2425.4;44232;79.9;44453;50.8;2.0;47.2;44259;26.9/55.6;111;117;94;647;-553;238;44229;32.8;44411;44444;69.5/66.1;43.6/5.4;10.8/0.9;~0.0;43.9;44317;0.1;44415;136.2/137.5;79.6/74.1;.../...;38.5;117.4;44299;24;46.9;0.5/0.4;143;7;95.2/60.5;69.0/26.8;32721;;
Togo;WesternAfrica;56785;7798;143.4;99.4;4086;44321;559.4;45.7;44396;34.6;62.5;44385;44405;44414;81.0/80.7;140;143;715;1716;-1001;-461;44349;40.0;44411;44381;59.8/58.3;41.6/4.6;276.8/3.8;44421;55.7;44232;...;44232;118.5/125.1;.../...;6.4/14.9;44364;65.0;44203;80;44411;2.6/0.4;111;20;91.4/44.2;24.7/2.9;18749;;
Tokelau;Polynesia;12;1;130.0;100.0;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;112;112;~0;1;-1;-99;44440;0.0;0.0;44198;-99;28.3/12.2;0.5/39.0;-99;-99;-99;-99;-99;114.3/121.0;120.7/129.1;-99;-99;...;-99;49;0.0;-99;-99;-99;.../100.0;.../90.5;-99;;
Tonga;Polynesia;747;108;150.0;100.7;402;44411;3784.5;44308;44337;56.1;33.3;44255;38.5;44412;52.9/73.9;134;134;14;209;-196;-33;0.4;44400;0.7;44411;75.6/69.6;35.8/8.5;5.7/5.4;...;44367;44232;...;...;107.5/108.6;94.2/86.4;.../...;44411;65.6;45.0;79;44328;0.1/1.1;0;15;99.7/99.6;97.6/89.0;18.30;;
Trinidad and Tobago;Caribbean;5127;1369;266.9;97.1;25927;0.2;19062.9;0.5;42.5;57.0;44200;31.6;64.3;44231;52.4/73.2;95;95;4576;4826;-249;...;0.5;44294;-1.2;44409;73.8/66.9;20.7/15.0;49.9/3.7;0.2;44432;44444;...;...;.../...;.../...;.../...;31.0;157.7;69.2;69;45.4;46.3/34.2;1663;607;95.1/95.1;91.5/91.5;...;;
Tunisia;NorthernAfrica;163610;11532;74.2;97.6;41199;0.8;3660.9;44265;44435;62.0;44388;44315;58.9;44361;25.1/71.3;108;108;13483;19456;-5973;-3850;44228;66.8;44287;44257;77.1/73.0;24.0/12.3;56.7/0.5;0.7;44334;7.0;44348;44261;112.5/115.8;94.2/90.0;43.3/26.2;44286;129.9;48.5;96;44353;28.8/2.6;274;39;100.0/93.2;97.4/79.8;41640;;
Turkey;WesternAsia;783562;80745;104.9;97.0;717888;4.0;9125.8;44355;44312;65.0;44366;44343;52.9;44418;30.4/71.4;120;122;142606;198602;-55996;-32278;44348;73.4;2.0;44198;78.1/71.5;25.0/12.0;2964.9/3.8;3006.3;44359;44291;44378;44412;102.1/102.8;101.1/103.8;88.3/101.0;44453;96.0;53.7;388;44211;346.0/4.5;1303;65;100.0/100.0;98.3/85.5;0.30;;
Turkmenistan;CentralAsia;488100;5758;44267;97.0;37597;44322;6996.7;44299;51.0;35.6;44456;37.4;44.7;44355;47.3/77.7;103;109;3741;2616;1125;-99;44409;50.0;44440;3.0;70.8/63.9;30.9/7.3;196.4/3.7;44234;46.9;44198;44257;44199;88.6/90.1;83.7/86.9;6.2/9.7;44433;145.9;15.0;54;44416;68.4/12.9;3270;212;.../...;.../...;0.07;;
Turks and Caicos Islands;Caribbean;948;35;37.3;104.1;863;44200;25121.8;0.6;44296;89.0;...;...;...;...;-99;-99;-99;4;389;-385;-99;2.0;92.2;44318;-99;77.8/75.8;19.2/7.6;11.7/34.0;~0.0;-99;-99;-99;44258;-99;-99;-99;-99;-99;-99;60;36.2;0.2/6.1;0;86;.../...;.../...;-99;;
Tuvalu;Polynesia;26;11;373.1;102.0;33;44319;3362.4;26.0;44354;66.4;-99;-99;-99;...;.../...;110;110;~0;12;-12;7;0.9;59.7;44440;44350;.../...;31.1/9.9;0.1/1.4;-99;...;44332;...;-99;104.3/103.0;97.5/76.0;-99;44383;40.3;42.7;96;33.3;~0.0/...;-99;13;98.3/97.0;86.3/80.2;63.52;;
Uganda;EasternAfrica;241550;42863;214.5;99.0;25282;44291;647.7;44372;44337;52.9;72.0;44293;44336;44288;82.3/87.7;93;90;2755;3750;-996;-2353;44289;44212;44291;44444;60.7/56.5;47.7/3.3;749.5/1.9;727.1;60.2;44234;...;44229;110.9/108.9;22.1/24.3;4.2/5.4;34.3;50.4;44246;196;11.0;5.2/0.1;409;12;95.5/75.8;28.5/17.3;12936;;
Ukraine;EasternEurope;603500;44223;76.3;86.0;90615;-9.9;2021.6;14.0;44281;59.7;44392;44371;59.7;44416;52.3/67.5;137;137;36369;39184;-2815;-189;-0.5;69.7;-0.3;44317;76.0/66.1;15.5/23.2;4834.9/10.8;1644.8;44416;44203;3.0;44444;105.1/102.8;98.2/100.2;88.4/76.5;44267;144.0;49.3;102;44363;227.3/5.1;3203;98;95.5/97.8;97.4/92.6;23012;;
United Arab Emirates;WesternAsia;83600;9400;112.4;262.4;370296;44411;40438.8;0.7;44.9;54.4;44319;44217;75.4;44380;41.7/90.8;70;70;195613;201908;-6296;-99;2.0;85.5;44441;44409;78.2/76.0;13.9/2.4;8095.1/88.4;44256;44233;44350;44348;-99;116.0/116.7;-99;-99;20.0;187.4;91.2;56;44411;211.4/23.2;8642;366;99.6/100.0;98.0/95.2;-99;;
United Kingdom;NorthernEurope;242495;66182;273.6;97.4;2858003;44229;44162.4;0.7;44305;79.9;44228;44304;80.4;5.0;57.0/68.6;108;108;415856;635570;-219713;-122571;0.6;82.6;0.9;44440;82.8/79.0;17.7/23.9;8543.1/13.2;151.7;44200;44205;44410;44382;108.1/108.4;130.4/125.3;64.1/49.0;30.0;125.8;92.0;102;44451;419.8/6.5;4482;116;100.0/100.0;99.1/99.6;-99;;
United Republic of Tanzania;EasternAfrica;947303;57310;64.7;97.8;45628;7.0;877.3;44227;44222;42.9;66.9;44292;44403;44379;73.9/83.2;176;180;4742;7876;-3134;-3312;44199;31.6;44291;44232;64.8/60.8;44.9/4.7;261.2/0.5;402.1;44.0;44352;~0.0;44319;82.9/80.5;30.8/33.7;2.5/4.9;36.4;75.9;44291;1082;52.4;11.6/0.2;935;20;77.2/45.5;31.3/8.3;31168;;
United States of America;NorthernAmerica;9833517;324460;35.5;98.0;18036648;44349;56053.8;1.0;44396;79.3;44317;44244;81.3;44443;55.7/68.1;111;113;1453167;2249661;-796494;-462961;0.7;81.6;1.0;44440;81.2/76.5;18.9/21.5;46627.1/14.5;616.5;6.0;44213;44349;44291;100.0/100.3;98.5/96.7;99.6/72.8;44215;117.6;74.6;1513;33.9;5254.3/16.2;83887;289;99.4/98.2;100.0/100.0;-99;;
United States Virgin Islands;Caribbean;347;105;299.7;91.1;-99;-99;-99;-99;-99;-99;44449;24.0;65.2;9.0;52.5/70.7;109;109;-99;-99;-99;-99;-0.2;95.3;0.3;44257;81.5/76.7;20.1/25.3;56.7/53.4;-99;44264;-99;-99;-99;-99;-99;-99;-99;...;54.8;58;50.6;-99;-99;-99;100.0/100.0;96.4/96.4;-99;;
Uruguay;SouthAmerica;173626;3457;44427;93.5;53442;1.0;15573.8;44414;28.0;65.2;44385;44336;70.8;44416;55.6/76.3;129;130;6964;8137;-1173;-1141;0.3;95.3;0.5;2.0;80.4/73.2;21.1/19.5;71.8/2.1;0.5;44389;44355;...;44290;107.3/109.8;100.0/90.3;.../...;44247;160.2;64.6;106;44296;6.7/2.0;113;58;100.0/93.9;96.6/92.6;0.04;;
Uzbekistan;CentralAsia;448969;31911;75.0;99.4;69004;44414;2308.3;44246;32.9;47.9;29.0;44462;47.1;44447;48.5/76.6;158;174;27947;25652;2295;-99;44348;36.4;44287;44288;73.5/68.1;28.0/7.6;1170.9/3.9;86.7;44286;44413;44318;-99;103.2/105.6;95.1/96.8;7.1/11.0;16.0;73.3;42.8;59;44354;105.2/3.6;2339;62;98.5/80.9;100.0/100.0;0.66;;
Vanuatu;Melanesia;12189;276;44399;102.4;737;-1.0;2783.0;44403;44294;64.9;61.4;44414;44439;44260;61.7/80.5;123;122;50;416;-366;-82;44257;44222;44289;44289;73.6/69.4;35.9/6.7;3.2/1.2;~0.0;44279;5.0;0.2;44321;118.7/120.6;56.4/53.4;.../...;0.0;66.2;44308;137;36.1;0.2/0.6;1;12;98.9/92.9;65.1/55.4;12024;;
Venezuela (Bolivarian Republic of);SouthAmerica;912050;31977;36.3;99.0;344331;-6.2;11068.9;44260;44.7;50.0;44450;44434;61.3;44353;51.5/78.3;118;119;19731;16324;3407;-20360;44287;89.0;44317;44288;78.2/69.9;27.6/9.9;1404.4/4.5;174.2;44421;44260;...;...;98.6/101.3;93.0/86.5;.../...;44249;93.0;61.9;328;53.1;185.2/6.1;7460;90;95.0/77.9;97.5/69.9;0.01;;
Viet Nam;South-easternAsia;330967;95541;308.1;98.0;193241;44383;2067.9;44457;37.0;44.2;41.8;44461;35.2;44229;73.9/83.3;136;134;176632;174111;2520;906;44197;33.6;3.0;2.0;80.3/70.7;23.1/11.1;72.8/0.1;11.0;44274;44203;44228;44382;108.4/109.3;-99;28.9/28.8;44403;130.6;52.7;616;47.2;166.9/1.8;2977;30;99.1/96.9;94.4/69.7;26665;;
Wallis and Futuna Islands;Polynesia;142;12;84.1;93.4;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;115;115;1;53;-51;-99;-2.1;0.0;0.0;44198;78.7/72.8;25.5/15.4;2.8/21.7;-99;...;-99;-99;-99;-99;-99;-99;-99;-99;9.0;89;41.6;~0.0/1.6;-99;26;-99;-99;-99;;
Western Sahara;NorthernAfrica;266000;553;44198;110.1;-99;-99;-99;-99;-99;-99;37.4;44466;34.7;44414;28.6/83.3;100;100;-99;-99;-99;-99;44409;80.9;44258;44349;70.3/66.9;28.1/5.4;5.2/0.9;-99;34.1;-99;-99;-99;-99;-99;-99;-99;-99;-99;49;44379;-99;-99;-99;-99;-99;-99;;
Yemen;WesternAsia;527968;28250;53.5;102.1;29688;-28.1;1106.4;44391;36.9;48.4;32.9;44456;49.2;44212;26.2/73.7;136;137;570;6861;-6291;-3026;44349;34.6;4.0;44290;65.6/62.8;39.9/4.6;344.1/1.3;3371.4;47.2;44352;0.3;...;88.9/105.7;39.5/57.4;6.1/13.7;0.0;68.0;44221;298;1.0;22.7/0.9;668;12;72.0/46.5;92.5/34.1;36192;;
Zambia;EasternAfrica;752612;17094;23.0;98.5;21255;44441;1311.1;44235;32.3;59.5;54.8;44448;35.3;44293;69.9/80.9;179;180;6505;7442;-937;-768;3.0;40.9;44259;44232;61.9/57.5;44.8/3.7;127.9/0.8;55.3;53.8;5.0;0.2;...;104.0/103.3;-99;3.4/4.5;18.0;74.5;21.0;88;65.6;4.5/0.3;374;26;85.6/51.3;55.6/35.7;35125;;
Zimbabwe;EasternAfrica;390757;16530;42.7;95.0;13893;44197;890.4;13.0;44346;56.5;67.5;44262;44252;5.0;78.0/87.5;99;98;2832;5212;-2379;-1521;44257;32.4;44257;4.0;59.0/56.1;41.2/4.2;398.9/2.6;308.6;46.5;6.0;0.1;44294;99.1/100.8;47.1/48.1;8.0/8.9;32.6;84.8;44302;89;37.2;12.0/0.8;482;30;97.0/67.3;49.3/30.8;6.00;;
